concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados
"GLOBAL EXPRESS",EMPREGO,"TÉCNICO EM ELETRÔNICA/ ELETROELETRÔNICA","AMPLA CONCORRÊNCIA",1333.00,3000.00,44,14/10/2021,31/10/2021,UBERLÂNDIA,7,1,0
"GLOBAL EXPRESS",EMPREGO,"TÉCNICO EM ELETRÔNICA/ELETROELETRÔNICA","AMPLA CONCORRÊNCIA",1100.00,1500.00,36,14/10/2021,31/10/2021,UBERLÂNDIA,3,1,0
"GLOBAL EXPRESS","ESTÁGIO REMUNERADO","ESTÁGIO EM ELETRÔNICA/ELETROELETRÔNICA","AMPLA CONCORRÊNCIA",800.00,1000.00,30,14/10/2021,31/10/2021,UBERLÂNDIA,5,1,0
IEF,"ESTÁGIO NÃO REMUNERADO","TÉCNICO DE AGROECOLOGIA","AMPLA CONCORRÊNCIA",,,20,01/08/2022,31/12/2022,"PATOS DE MINAS",1,0,0
"JBE SOLUCOES EM ENERGIA LTDA","ESTÁGIO REMUNERADO","ESTAGIO ENGENHARIA ELETRICA","AMPLA CONCORRÊNCIA",600.00,600.00,30,,,PARACATU,1,0,0
"KP CONSULTORIA LTDA",EMPREGO,"SURPEVISOR AGRÍCOLA","AMPLA CONCORRÊNCIA",3000.00,3500.00,40,,,UBERLÂNDIA,1,0,0
KROMA,"ESTÁGIO NÃO REMUNERADO","VAGA ESTAGIO FINANCEIRO","AMPLA CONCORRÊNCIA",,,6,22/07/2022,02/08/2022,PARACATU,1,0,0
KROMA,"ESTÁGIO NÃO REMUNERADO","VAGA ESTAGIO RECURSOS HUMANOS","AMPLA CONCORRÊNCIA",,,6,22/07/2022,02/08/2022,PARACATU,1,0,0
LARAMED,"ESTÁGIO NÃO REMUNERADO","AUXILIAR ADMINISTRATIVO","AMPLA CONCORRÊNCIA",,,20,,,ITUIUTABA,1,2,0
LOCAMIL,EMPREGO,"VAGA PARA AUXILIAR DE MECÂNICO ","AMPLA CONCORRÊNCIA",1300.00,2300.00,40,12/09/2023,10/10/2023,PARACATU,4,0,0
"LONGPING HIGH TECH","ESTÁGIO REMUNERADO","ESTÁGIO EM TECNOLOGIA DA INFORMAÇÃO - HELPDESK, INFRAESTRUTURA E NETWORK","AMPLA CONCORRÊNCIA",1560.00,1560.00,30,01/04/2023,01/04/2025,PARACATU,1,4,0
